Title,Pieces,Minifigs,Price
Sith Trooper Bust,484.0,,
Captain Marvel and the Asis,271.0,2,
The Dark Knight of Gotham City,427.0,1,
Chinese New Year's Eve Dinner,615.0,6,
Dragon Dance,622.0,5,
Dragon Boat Race,643.0,15,49.99
Koi,293.0,,
Shark Skin,31.0,,
Splash Koi Skin,33.0,,
Ink Koi Skin,33.0,,
Boost Hub,1.0,,79.99
Colour & Distance Sensor,1.0,,13.99
Medium Linear Motor,1.0,,16.99
Train Motor,7.0,,13.99
Garmadon,10.0,1,
Garmadon,10.0,1,
Wu,6.0,1,
Wu,6.0,1,
Kai vs. Wyplash,13.0,2,
Kai vs. Wyplash,13.0,2,
Jay Vs. Lasha,12.0,2,
Jay vs. Lasha,12.0,2,
